Date,Team,Goals,Yellowcards,BallPossessionPct,Tackles,Corners,Fouls,Penalties,Redcards,DangerousAttacks,Attacks,Offsides,YellowredCards
2025-01-26 18:30:00.000000 UTC,Panathinaikos,1,7,61,23,2,17,1,1,55,94,0,1
2024-09-15 17:30:00.000000 UTC,Panathinaikos,0,3,49,9,4,14,0,0,27,59,0,0
2025-01-12 14:30:00.000000 UTC,Panathinaikos,2,2,48,19,6,12,0,1,88,102,0,0
2024-08-18 17:00:00.000000 UTC,Panathinaikos,0,3,66,5,8,13,0,1,67,128,2,0
2024-12-15 16:00:00.000000 UTC,Panathinaikos,1,1,52,18,11,15,0,0,53,114,0,0
2024-12-08 17:00:00.000000 UTC,Panathinaikos,1,2,64,16,9,10,0,0,66,95,0,0
2025-02-23 15:00:00.000000 UTC,Panathinaikos,1,4,72,21,6,14,0,0,82,136,2,0
2024-09-01 19:00:00.000000 UTC,Panathinaikos,2,2,59,17,3,7,0,0,51,110,3,0
2025-03-09 17:00:00.000000 UTC,Panathinaikos,1,3,68,3,3,9,0,0,62,126,0,0
2024-10-20 15:00:00.000000 UTC,Panathinaikos,1,3,60,10,4,16,0,0,46,97,3,0
2024-11-24 15:00:00.000000 UTC,Panathinaikos,2,3,62,16,8,16,0,0,70,114,0,0
2025-02-09 17:30:00.000000 UTC,Panathinaikos,0,1,58,15,7,8,0,0,68,106,0,0
2024-10-06 17:30:00.000000 UTC,Panathinaikos,0,2,54,10,6,12,0,0,32,60,2,0
2024-10-27 16:00:00.000000 UTC,Panathinaikos,1,2,59,15,5,11,0,0,71,129,0,0
2024-12-01 18:30:00.000000 UTC,Panathinaikos,1,1,56,16,6,10,0,0,61,127,1,0
2024-08-25 18:00:00.000000 UTC,Panathinaikos,1,2,72,12,7,13,0,0,67,131,3,0
2024-09-22 15:00:00.000000 UTC,Panathinaikos,3,1,67,13,7,10,1,0,66,129,1,0
2024-11-10 17:30:00.000000 UTC,Panathinaikos,1,3,74,18,7,15,0,0,70,129,4,0
2024-12-22 16:00:00.000000 UTC,Panathinaikos,1,5,70,10,17,14,0,0,113,144,1,0
2025-01-05 18:30:00.000000 UTC,Panathinaikos,2,1,53,10,9,13,0,0,63,86,2,0
2025-01-19 18:30:00.000000 UTC,Panathinaikos,1,4,27,23,0,14,1,0,31,71,2,0
2025-02-01 16:00:00.000000 UTC,Panathinaikos,3,1,66,5,13,10,0,0,88,122,4,0
2025-02-16 15:00:00.000000 UTC,Panathinaikos,2,3,60,21,6,25,0,0,47,119,1,0
2025-03-01 18:00:00.000000 UTC,Panathinaikos,2,3,52,13,5,21,0,0,59,88,2,0
2024-11-03 15:00:00.000000 UTC,Panathinaikos,1,3,66,9,6,21,1,0,60,119,0,0
2024-09-29 18:30:00.000000 UTC,Panathinaikos,0,4,56,12,1,16,0,0,55,83,3,0